id,brand,category,productCategory,colorway,condition,minimumBid,gender,name,releaseDate,retailPrice,shoe,lowestAsk,lowestAskSize,salesThisPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,salesLast72Hours,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,img
3a81d26e-ca5e-4f5b-86d8-647ff9bc87b8,Jordan,Air Jordan Five,sneakers,Black/Cool Grey-White,New,25,men,Oreo,2013-11-29 23:59:59,170,Jordan 5 Retro,205,14,1,275,11.5,78,350,150,0.149085,398,0.206,237,1,94228,47,77,92,"https://stockx.imgix.net/Air-Jordan-5-Retro-Oreo-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1554092515"
cfc63229-e80c-4577-8a68-e791e4997694,Jordan,Air Jordan Five,sneakers,Midnight Navy/Turquoise Blue-White,New,25,men,Pre-Grape,2015-05-02 23:59:59,190,Jordan 5 Retro,126,9.5,1,157,14,52,250,60,0.24137,259,-0.368,151,1,39169,23,78,1,"https://stockx.imgix.net/Air-Jordan-5-Retro-Pre-Grape.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
8203fd4d-9647-4059-b996-ba47f11ac5a7,Jordan,Air Jordan Five,sneakers,Cool Grey/Club Pink-Court Purple-Game Royal,New,25,men,Bel-Air,2013-10-05 23:59:59,185,Jordan 5 Retro,375,9.5,1,425,12,84,600,318,0.118412,246,1.459,397,1,97543,56,49,74,"https://stockx.imgix.net/Jordan-5-Retro-Bel-Air-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549050033"
e0fa3871-b9c6-449e-bf80-bd93ea90083b,Jordan,Air Jordan Five,sneakers,Obsidian/White-Metallic Red Bronze-Bright Grape,New,25,men,Bronze,2016-09-24 23:59:59,190,Jordan 5 Retro,139,18,1,175,12,50,270,92,0.123029,240,0.211,168,1,40237,1,6,28,"https://stockx.imgix.net/Air-Jordan-5-Retro-Bronze.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
6d83b9a7-6314-4019-b342-902ad19d58df,Jordan,Air Jordan Five,sneakers,White/Fire Red-Black,New,25,men,Supreme White,2015-10-16 23:59:59,198,Jordan 5 Retro,600,14,1,782,8.5,97,1041,350,0.112192,213,3.49,635,1,135181,2,24,84,"https://stockx.imgix.net/Jordan-5-Retro-Supreme-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549049554"
1e6666b4-1a34-4a47-870a-05f4793bdc87,Jordan,Air Jordan Five,sneakers,White/University Red-Black-Matte Silver,New,25,child,White Cement (GS),2017-08-05 23:59:59,140,Jordan 5 Retro,159,6Y,1,168,5Y,38,180,66,0.111222,196,0.043,134,1,26354,92,21,4,"https://stockx.imgix.net/Air-Jordan-5-Retro-White-Cement-GS.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
3c5dbba4-9b7e-4089-8729-4a9139c2b6d0,Jordan,Air Jordan Five,sneakers,Varsity Royal/Varsity Maize-Light Charcoal,New,25,child,Laney Varsity Royal (GS),2019-02-02 23:59:59,150,Jordan 5 Retro,89,4Y,1,84,7Y,22,219,55,0.117496,193,-0.34,115,1,22130,28,57,1,"https://stockx.imgix.net/Air-Jordan-5-Retro-Laney-Varsity-Royal-GS.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1548271458"
59830c04-2290-465f-aa97-8934351bd1c6,Jordan,Air Jordan Five,sneakers,Cement Grey/Gamma Blue-Black,New,25,men,3Lab5,2013-09-21 23:59:59,225,Jordan 5 Retro,194,8.5,1,180,12,29,284,100,0.11158,165,-0.022,185,1,30530,23,72,34,"https://stockx.imgix.net/Air-Jordan-5-Retro-3Lab5-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1560373867"
6e5299ab-b821-4c7c-abbd-796117c8c236,Jordan,Air Jordan Five,sneakers,Black/Metallic Silver-Red,New,25,men,Black Metallic (2007),2007-01-20 23:59:59,135,Jordan 5 Retro,185,7.5,1,182,10,31,300,100,0.094377,152,0.311,202,1,30700,74,81,89,"https://stockx.imgix.net/Air-Jordan-5-Retro-Black-Metallic-Silver-2007-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551048377"
b9dd121f-1765-4fdf-9671-1433e19559e5,Jordan,Air Jordan Five,sneakers,University Red/Black,New,25,child,Red Suede (GS),2017-07-02 23:59:59,190,Jordan 5 Retro,145,4Y,1,145,7Y,26,205,60,0.247054,133,-0.442,130,1,17295,22,69,56,"https://stockx.imgix.net/Air-Jordan-5-Retro-Red-Suede-GS.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
8ecec825-e575-4103-b681-a1ebdb468cfc,Jordan,Air Jordan Five,sneakers,White/Challenge Red-Black,New,25,men,Paris Saint-Germain White (F&F),2018-09-14 23:59:59,None,Jordan 5 Retro,1510,9,1,1480,9.5,59,3500,475,0.116154,101,0,1883,1,190227,33,31,91,"https://stockx.imgix.net/Air-Jordan-5-Retro-Paris-Saint-Germain-White-FF-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
0ca4d6c4-6bd4-4d6a-b6a6-6042dbba02d7,Jordan,Air Jordan Five,sneakers,Sequoia/Fire Red-Medium Olive-Black,New,25,men,Fear Pack,2013-08-24 23:59:59,160,Jordan 5 Retro,300,9,1,345,9.5,63,400,245,0.077137,85,1.188,323,1,27489,71,66,90,"https://stockx.imgix.net/Air-Jordan-5-Retro-Fear-Pack.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
fa5e196c-db08-42b0-af9f-bc81ae165f95,Jordan,Air Jordan Five,sneakers,White/Grape Ice/New Emerald,New,25,men,Grape (2006),2006-09-30 23:59:59,145,Jordan 5 Retro,214,8,1,201,13.5,30,450,116,0.296098,85,-0.2,202,1,17133,58,75,17,"https://stockx.imgix.net/Air-Jordan-5-Retro-Grape-2006.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
9a1f8466-db2b-4a14-a780-6c50a8000922,Jordan,Air Jordan Five,sneakers,White/Emerald-New-Grape-Ice-Blue,New,25,child,Grape 2013 (GS),2013-05-04 23:59:59,115,Jordan 5 Retro,200,6.5Y,1,190,8Y,30,245,85,0.11636,66,0.565,161,1,10642,73,17,91,"https://stockx.imgix.net/Air-jordan-5-Retro-Grape-2013-GS.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
c751cfb6-f39c-4dad-be20-52e079d8f839,Jordan,Air Jordan Five,sneakers,Varsity Royal/Varsity Maize-Light Charcoal,New,25,toddler,Laney Varsity Royal (TD),2019-02-02 23:59:59,65,Jordan 5 Retro,52,5,1,40,6,7,96,30,0.17511,61,-0.077,60,1,3631,39,49,38,"https://stockx.imgix.net/Air-Jordan-5-Retro-Laney-Varsity-Royal-TD.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1548271458"
d011f3ea-1a63-4d00-9c92-c9c1ccc007ef,Jordan,Air Jordan Five,sneakers,White/Black-Metallic Silver,New,25,child,Metallic White 2015 (GS),None,None,Jordan 5 Retro,150,6Y,1,130,5.5Y,31,244,70,0.253863,60,0,144,1,8659,97,89,94,"https://stockx.imgix.net/Jordan-5-Retro-Metallic-White-2015-GS.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551455018"
9578d920-7423-406a-83f8-8939f84e6d51,Jordan,Air Jordan Five,sneakers,Varsity Red/Black,New,25,men,DMP Raging Bull Red Suede,2009-05-30 23:59:59,155,Jordan 5 Retro,584,12,1,520,9,37,674,401,0.10398,58,2.226,517,1,29978,13,96,71,"https://stockx.imgix.net/Air-Jordan-5-Retro-DMP-Raging-Bull-Red-Suede-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
